Accelerometer sample rate = 119.00 Hz
Gyroscope sample rate = 119.00 Hz

aX:-0.826,aY:-0.166,aZ:-0.620,gX:-8.606,gY:-37.598,gZ:6.531
aX:-0.816,aY:-0.185,aZ:-0.681,gX:-4.395,gY:-36.377,gZ:5.127
aX:-0.848,aY:-0.274,aZ:-0.704,gX:-4.944,gY:-33.936,gZ:3.967
aX:-0.892,aY:-0.380,aZ:-0.684,gX:-8.667,gY:-32.959,gZ:6.714
aX:-0.888,aY:-0.405,aZ:-0.647,gX:-13.000,gY:-33.142,gZ:7.507
aX:-0.858,aY:-0.312,aZ:-0.656,gX:-16.357,gY:-36.133,gZ:3.662
aX:-0.862,aY:-0.220,aZ:-0.663,gX:-19.775,gY:-45.959,gZ:0.977
aX:-0.872,aY:-0.202,aZ:-0.733,gX:-18.005,gY:-57.739,gZ:-2.319
aX:-0.876,aY:-0.268,aZ:-0.749,gX:-14.771,gY:-60.913,gZ:-1.709
aX:-0.839,aY:-0.312,aZ:-0.732,gX:-13.306,gY:-51.392,gZ:2.747
aX:-0.766,aY:-0.260,aZ:-0.722,gX:-9.216,gY:-36.377,gZ:2.808
aX:-0.755,aY:-0.242,aZ:-0.755,gX:-7.751,gY:-28.870,gZ:0.610
aX:-0.806,aY:-0.310,aZ:-0.742,gX:-8.240,gY:-24.475,gZ:1.221
aX:-0.821,aY:-0.390,aZ:-0.754,gX:-6.165,gY:-18.677,gZ:1.038
aX:-0.802,aY:-0.366,aZ:-0.719,gX:-5.005,gY:-10.376,gZ:-1.892
aX:-0.744,aY:-0.269,aZ:-0.708,gX:-3.052,gY:-3.906,gZ:-5.554
aX:-0.758,aY:-0.210,aZ:-0.690,gX:0.305,gY:-0.854,gZ:-8.972
aX:-0.762,aY:-0.216,aZ:-0.701,gX:4.211,gY:3.540,gZ:-10.681
aX:-0.770,aY:-0.239,aZ:-0.731,gX:6.531,gY:9.033,gZ:-10.742
aX:-0.776,aY:-0.263,aZ:-0.735,gX:7.629,gY:17.822,gZ:-10.620
aX:-0.766,aY:-0.286,aZ:-0.735,gX:6.836,gY:25.940,gZ:-10.681
aX:-0.767,aY:-0.298,aZ:-0.730,gX:5.981,gY:32.532,gZ:-11.841
aX:-0.796,aY:-0.313,aZ:-0.750,gX:5.554,gY:33.691,gZ:-13.367
aX:-0.839,aY:-0.327,aZ:-0.769,gX:6.714,gY:32.166,gZ:-15.320
aX:-0.874,aY:-0.326,aZ:-0.764,gX:8.972,gY:31.067,gZ:-19.470
aX:-0.845,aY:-0.328,aZ:-0.744,gX:10.010,gY:34.546,gZ:-24.719
aX:-0.827,aY:-0.302,aZ:-0.702,gX:10.925,gY:42.419,gZ:-27.100
aX:-0.825,aY:-0.259,aZ:-0.670,gX:9.583,gY:43.274,gZ:-27.344
aX:-0.832,aY:-0.201,aZ:-0.640,gX:7.996,gY:41.565,gZ:-25.574
aX:-0.807,aY:-0.144,aZ:-0.619,gX:7.812,gY:39.185,gZ:-24.963
aX:-0.789,aY:-0.116,aZ:-0.611,gX:9.338,gY:38.147,gZ:-24.170
aX:-0.823,aY:-0.122,aZ:-0.606,gX:11.536,gY:39.673,gZ:-22.644
aX:-0.833,aY:-0.140,aZ:-0.581,gX:11.719,gY:42.297,gZ:-21.484
aX:-0.832,aY:-0.160,aZ:-0.575,gX:11.536,gY:44.495,gZ:-19.897
aX:-0.866,aY:-0.162,aZ:-0.555,gX:11.414,gY:45.837,gZ:-18.921
aX:-0.887,aY:-0.162,aZ:-0.528,gX:12.146,gY:48.035,gZ:-19.165
aX:-0.874,aY:-0.145,aZ:-0.501,gX:12.146,gY:47.668,gZ:-20.203
aX:-0.892,aY:-0.118,aZ:-0.476,gX:11.292,gY:45.776,gZ:-20.081
aX:-0.913,aY:-0.087,aZ:-0.459,gX:10.742,gY:42.419,gZ:-20.203
aX:-0.901,aY:-0.075,aZ:-0.470,gX:11.230,gY:41.931,gZ:-20.081
aX:-0.898,aY:-0.091,aZ:-0.465,gX:11.902,gY:42.419,gZ:-18.433
aX:-0.922,aY:-0.113,aZ:-0.441,gX:11.658,gY:43.701,gZ:-15.442
aX:-0.895,aY:-0.089,aZ:-0.417,gX:9.033,gY:43.884,gZ:-13.916
aX:-0.868,aY:-0.059,aZ:-0.399,gX:9.583,gY:39.429,gZ:-13.000
aX:-0.891,aY:-0.082,aZ:-0.405,gX:8.728,gY:33.997,gZ:-10.925
aX:-0.891,aY:-0.086,aZ:-0.400,gX:5.188,gY:30.029,gZ:-10.498
aX:-0.919,aY:-0.061,aZ:-0.399,gX:3.418,gY:25.818,gZ:-10.925
aX:-0.971,aY:-0.053,aZ:-0.382,gX:2.869,gY:17.090,gZ:-9.705
aX:-0.976,aY:-0.053,aZ:-0.385,gX:1.160,gY:11.353,gZ:-9.460
aX:-0.975,aY:-0.071,aZ:-0.392,gX:-0.366,gY:12.512,gZ:-8.545
aX:-0.965,aY:-0.055,aZ:-0.376,gX:-0.488,gY:18.555,gZ:-6.531
aX:-0.980,aY:-0.035,aZ:-0.359,gX:-0.732,gY:20.447,gZ:-4.211
aX:-0.995,aY:-0.018,aZ:-0.354,gX:-1.526,gY:20.386,gZ:-2.319
aX:-0.989,aY:-0.032,aZ:-0.353,gX:-2.808,gY:23.132,gZ:-2.075
aX:-0.976,aY:-0.041,aZ:-0.327,gX:-1.770,gY:28.076,gZ:-2.136
aX:-0.941,aY:-0.017,aZ:-0.279,gX:1.953,gY:33.813,gZ:-3.418
aX:-0.904,aY:0.011,aZ:-0.263,gX:5.066,gY:36.865,gZ:-6.409
aX:-0.857,aY:0.017,aZ:-0.279,gX:4.395,gY:35.278,gZ:-10.864
aX:-0.870,aY:-0.007,aZ:-0.292,gX:0.000,gY:28.992,gZ:-12.695
aX:-0.916,aY:-0.045,aZ:-0.291,gX:-0.366,gY:21.118,gZ:-9.888
aX:-0.987,aY:-0.065,aZ:-0.287,gX:-2.136,gY:14.282,gZ:-5.981
aX:-1.006,aY:-0.034,aZ:-0.292,gX:-5.737,gY:10.193,gZ:-5.737
aX:-0.996,aY:0.023,aZ:-0.306,gX:-6.653,gY:7.812,gZ:-8.057
aX:-0.977,aY:0.072,aZ:-0.308,gX:-3.967,gY:4.578,gZ:-9.583
aX:-0.953,aY:0.072,aZ:-0.325,gX:-1.709,gY:2.869,gZ:-8.301
aX:-0.949,aY:0.046,aZ:-0.324,gX:-0.732,gY:2.563,gZ:-4.700
